bloque,size,num_primos,head,head_fib,head_lucas,tail,tail_fib,tail_lucas,total_breaks,breaks_lucas,breaks_no_lucas,max_gap,contiene_18,gap_mas_frecuente,tiempo_s
1,1,1,0,1,0,0,1,0,0,0,0,0,0,,0.0
2,1,1,0,1,0,0,1,0,0,0,0,0,0,,0.0
3,2,1,0,1,0,1,1,1,0,0,0,1,0,,0.0
4,3,2,0,1,0,0,1,0,0,0,0,1,0,,0.0
5,5,1,3,1,1,1,1,1,0,0,0,3,0,,0.0
6,8,3,0,1,0,1,1,1,0,0,0,3,0,,0.0
7,13,3,2,1,1,2,1,1,0,0,0,5,0,,0.0
8,21,5,3,1,1,1,1,1,0,0,0,5,0,,0.0
9,34,7,4,0,1,5,1,0,1,1,0,5,0,4,0.0
10,55,11,0,1,0,4,0,1,2,2,0,13,0,7,0.0
11,89,16,5,1,0,3,1,1,3,2,1,11,0,11,0.0
12,144,24,0,1,0,3,1,1,4,1,3,13,0,9,0.0
13,233,37,2,1,1,2,1,1,12,7,5,17,0,7,0.0
14,377,55,3,1,1,3,1,1,18,10,8,19,0,9,0.0
15,610,84,4,0,1,13,1,0,29,17,12,33,0,11,0.0
16,987,126,0,1,0,4,0,1,44,20,24,25,0,9,0.0
17,1597,198,7,0,1,3,1,1,71,35,36,27,0,7,0.0
18,2584,297,20,0,0,1,1,1,122,49,73,31,0,9,0.0
19,4181,458,14,0,0,6,0,0,191,96,95,35,0,11,0.0
20,6765,704,3,1,1,3,1,1,302,135,167,43,0,11,0.0
21,10946,1087,2,1,1,7,0,1,511,231,280,51,0,11,0.0
22,17711,1674,0,1,0,16,0,0,815,353,462,71,0,11,0.0
23,28657,2602,13,1,0,7,0,1,1283,520,763,57,0,11,0.001
24,46368,4029,4,0,1,13,1,0,2022,769,1253,63,0,9,0.001
25,75025,6263,10,0,0,30,0,0,3250,1254,1996,85,0,11,0.002
26,121393,9738,11,0,1,13,1,0,5214,1942,3272,81,0,11,0.003
27,196418,15186,16,0,0,9,0,0,8259,3029,5230,113,0,11,0.005
28,317811,23705,0,1,0,36,0,0,13193,4771,8422,97,0,11,0.008
29,514229,36981,23,0,0,19,0,0,20858,7451,13407,105,0,11,0.013
30,832040,57909,4,0,1,25,0,0,33463,11706,21757,147,0,11,0.021
31,1346269,90550,4,0,1,8,1,0,53025,18185,34840,121,0,11,0.034
32,2178309,142033,25,0,0,19,0,0,84502,28523,55979,153,0,11,0.054
33,3524578,222855,10,0,0,21,1,0,134634,44808,89826,151,0,11,0.086
34,5702887,349862,14,0,0,10,0,0,214577,70204,144373,153,0,11,0.138
35,9227465,549903,35,0,0,5,1,0,341546,109834,231712,209,0,11,0.225
36,14930352,865019,6,0,0,11,0,1,543853,172396,371457,181,0,11,0.363
37,24157817,1361581,24,0,0,14,0,0,865419,270511,594908,219,0,11,0.585
38,39088169,2145191,3,1,1,31,0,0,1377702,423688,954014,209,0,11,0.991
39,63245986,3381318,2,1,1,17,0,0,2194191,665700,1528491,221,0,11,1.675
40,102334155,5334509,6,0,0,16,0,0,3495984,1046273,2449711,247,0,11,2.766
41,165580141,8419527,7,0,1,17,0,0,5571090,1644299,3926791,249,0,11,4.571
42,267914296,13298631,0,1,0,15,0,0,8873900,2584114,6289786,281,0,11,7.431
43,433494437,21014892,20,0,0,42,0,0,14145425,4065389,10080036,259,0,11,12.184
44,701408733,33227992,9,0,0,23,0,0,22539107,6392779,16146328,291,0,11,19.795
