bloque,size_bloque,low,high,size_interno,size_externo,total_primos,primos_interno,primos_externo,ratio_int_ext,total_es,interno_es,externo_es,time_s
1,1,1,1,0,1,1,0,1,0.0,fib,fib,fib,0.0
2,1,2,2,1,1,1,0,1,0.0,fib,fib,fib,0.0
3,2,3,4,1,1,1,0,1,0.0,fib,fib,fib,0.0
4,3,5,7,2,1,2,1,1,1.0,fib,fib,fib,0.0
5,5,8,12,3,2,1,1,0,,fib,fib,fib,0.0
6,8,13,20,5,3,3,2,1,2.0,fib,fib,fib,0.0
7,13,21,33,8,5,3,2,1,2.0,fib,fib,fib,0.0
8,21,34,54,13,8,5,3,2,1.5,fib,fib,fib,0.0
9,34,55,88,21,13,7,4,3,1.3333,lucas,lucas,fib,0.0
10,55,89,143,34,21,11,5,6,0.8333,lucas,fib,,0.0
11,89,144,232,55,34,16,10,6,1.6667,,,,0.0
12,144,233,376,89,55,24,13,11,1.1818,,fib,lucas,0.0
13,233,377,609,144,89,37,21,16,1.3125,,fib,,0.0
14,377,610,986,233,144,55,33,22,1.5,fib,,,0.0
15,610,987,1596,377,233,84,51,33,1.5455,,,,0.0
16,987,1597,2583,610,377,126,78,48,1.625,,,,0.0
17,1597,2584,4180,987,610,198,122,76,1.6053,,,lucas,0.0
18,2584,4181,6764,1597,987,297,183,114,1.6053,,,,0.0
19,4181,6765,10945,2584,1597,458,283,175,1.6171,,,,0.0
20,6765,10946,17710,4181,2584,704,431,273,1.5788,,,,0.0
21,10946,17711,28656,6765,4181,1087,665,422,1.5758,,,,0.0
22,17711,28657,46367,10946,6765,1674,1022,652,1.5675,,,,0.0
23,28657,46368,75024,17711,10946,2602,1584,1018,1.556,,,,0.0
24,46368,75025,121392,28657,17711,4029,2467,1562,1.5794,,,,0.0
25,75025,121393,196417,46368,28657,6263,3837,2426,1.5816,,,,0.0
26,121393,196418,317810,75025,46368,9738,5973,3765,1.5865,,,,0.001
27,196418,317811,514228,121393,75025,15186,9314,5872,1.5862,,,,0.001
28,317811,514229,832039,196418,121393,23705,14551,9154,1.5896,,,,0.002
29,514229,832040,1346268,317811,196418,36981,22707,14274,1.5908,,,,0.003
30,832040,1346269,2178308,514229,317811,57909,35587,22322,1.5943,,,,0.005
31,1346269,2178309,3524577,832040,514229,90550,55628,34922,1.5929,,,,0.009
32,2178309,3524578,5702886,1346269,832040,142033,87278,54755,1.594,,,,0.014
33,3524578,5702887,9227464,2178309,1346269,222855,136838,86017,1.5908,,,,0.022
34,5702887,9227465,14930351,3524578,2178309,349862,215022,134840,1.5946,,,,0.037
35,9227465,14930352,24157816,5702887,3524578,549903,337907,211996,1.5939,,,,0.058
36,14930352,24157817,39088168,9227465,5702887,865019,531747,333272,1.5955,,,,0.097
37,24157817,39088169,63245985,14930352,9227465,1361581,837084,524497,1.596,,,,0.168
38,39088169,63245986,102334154,24157817,14930352,2145191,1318912,826279,1.5962,,,,0.308
39,63245986,102334155,165580140,39088169,24157817,3381318,2079280,1302038,1.5969,,,,0.561
40,102334155,165580141,267914295,63245986,39088169,5334509,3280988,2053521,1.5977,,,,0.985
41,165580141,267914296,433494436,102334155,63245986,8419527,5179144,3240383,1.5983,,,,1.689
42,267914296,433494437,701408732,165580141,102334155,13298631,8181416,5117215,1.5988,,,,2.843
43,433494437,701408733,1134903169,267914296,165580141,21014892,12929659,8085233,1.5992,,,,4.831
44,701408733,1134903170,1836311902,433494437,267914296,33227992,20445994,12781998,1.5996,,,,8.174
